id,title,link,image_link,content_type,title_th,genre,subgenre,tags,release_year,origin_country,maturity_rating,rating,rating_count,features,published,image_portrait,image_portrait_th,image_landscape_th,cast,created_at,updated_at,total_seasons,total_episodes
"16885","เพื่อนพิเศษ","https://vipa.me/th/watch/tellme","https://assets.vipa.nexbetter.com/pictures/3/1e/0c/1e0c5e13-f73c-4134-a712-1bb1cd68be03","movie","เพื่อนพิเศษ","Kids & Family","Animation|Educational|Drama","no_data","2026","THA","1","0","0","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/1e/0c/1e0c5e13-f73c-4134-a712-1bb1cd68be03","https://assets.vipa.nexbetter.com/pictures/3/1e/0c/1e0c5e13-f73c-4134-a712-1bb1cd68be03","https://assets.vipa.nexbetter.com/pictures/3/c3/89/c3897d67-7996-4e30-b65f-00a74140280b","no_data","2026-09-15T04:03:16.00Z","2026-09-15T04:06:58.00Z","0","0"
"16884","3-2-1 แอ็คชั่น !","https://vipa.me/th/watch/3-2-1-action","https://assets.vipa.nexbetter.com/pictures/3/d9/dc/d9dc7c2e-b963-4c20-aba5-cd50fc93ac58","movie","3-2-1 แอ็คชั่น !","Kids & Family","Animation|Drama","no_data","2026","THA","1","0","0","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/d9/dc/d9dc7c2e-b963-4c20-aba5-cd50fc93ac58","https://assets.vipa.nexbetter.com/pictures/3/d9/dc/d9dc7c2e-b963-4c20-aba5-cd50fc93ac58","https://assets.vipa.nexbetter.com/pictures/3/1b/d0/1bd06a77-1706-4539-ae0d-0e8125e6ea7a","no_data","2026-09-15T03:55:35.00Z","2026-09-15T03:59:19.00Z","0","0"
"16861","The Empty Page","https://vipa.me/th/watch/the-empty-page","https://assets.vipa.nexbetter.com/pictures/3/5f/30/5f304ffe-53de-4be6-ac3f-8a65e9ef168f","movie","The Empty Page","Documentary","Historical|Social/Political","no_data","2026","THA","5","0","0","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/5f/30/5f304ffe-53de-4be6-ac3f-8a65e9ef168f","https://assets.vipa.nexbetter.com/pictures/3/5f/30/5f304ffe-53de-4be6-ac3f-8a65e9ef168f","https://assets.vipa.nexbetter.com/pictures/3/5f/30/5f304ffe-53de-4be6-ac3f-8a65e9ef168f","no_data","2026-09-14T07:51:02.00Z","2026-09-14T07:53:11.00Z","0","0"
"16860","หัวขโมย","https://vipa.me/th/watch/the-thief","https://assets.vipa.nexbetter.com/pictures/3/39/ad/39ada9c9-b344-4aa4-aba2-b1d6f8253324","movie","หัวขโมย","Documentary","Investigative|Social/Political","no_data","2024","THA","5","4","3","soundtrack","true","https://assets.vipa.nexbetter.com/pictures/3/39/ad/39ada9c9-b344-4aa4-aba2-b1d6f8253324","https://assets.vipa.nexbetter.com/pictures/3/39/ad/39ada9c9-b344-4aa4-aba2-b1d6f8253324","https://assets.vipa.nexbetter.com/pictures/3/f9/3a/f93ae93c-6ed9-4a4b-993f-1bacc8e5f3ee","no_data","2026-09-14T07:29:43.00Z","2026-09-14T07:32:42.00Z","0","0"
"16851","The Echoes Remembered of Souls","https://vipa.me/th/watch/the-echoes-of-remembered-souls","https://assets.vipa.nexbetter.com/pictures/3/e8/69/e869f71c-f2ac-45d4-9e3b-8780bd4b6940","movie","The Echoes Remembered of Souls","Documentary","Historical|Investigative|Social/Political|Cultural","no_data","2026","THA","5","4","2","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/e8/69/e869f71c-f2ac-45d4-9e3b-8780bd4b6940","https://assets.vipa.nexbetter.com/pictures/3/e8/69/e869f71c-f2ac-45d4-9e3b-8780bd4b6940","https://assets.vipa.nexbetter.com/pictures/3/e8/69/e869f71c-f2ac-45d4-9e3b-8780bd4b6940","no_data","2026-09-11T04:42:50.00Z","2026-09-11T04:44:17.00Z","0","0"
"16850","Thailands Unlikely Scrabble Rebels","https://vipa.me/th/watch/thailands-unlikely-scrabble-rebels","https://assets.vipa.nexbetter.com/pictures/3/ec/75/ec756f38-8f22-4651-bdbc-91319315065e","movie","Thailands Unlikely Scrabble Rebels","Documentary","Social/Political|Cultural","no_data","2023","THA","5","4","1","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/ec/75/ec756f38-8f22-4651-bdbc-91319315065e","https://assets.vipa.nexbetter.com/pictures/3/ec/75/ec756f38-8f22-4651-bdbc-91319315065e","https://assets.vipa.nexbetter.com/pictures/3/ec/75/ec756f38-8f22-4651-bdbc-91319315065e","no_data","2026-09-11T04:30:11.00Z","2026-09-11T04:31:54.00Z","0","0"
"16849","เลือดและแผ่นดิน","https://vipa.me/th/watch/blood-and-homeland","https://assets.vipa.nexbetter.com/pictures/3/fe/02/fe02b4bd-c705-4fd9-a604-62d6f937e5ff","movie","เลือดและแผ่นดิน","Documentary","Historical|Investigative|Social/Political|Cultural","no_data","2006","THA","5","0","0","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/fe/02/fe02b4bd-c705-4fd9-a604-62d6f937e5ff","https://assets.vipa.nexbetter.com/pictures/3/fe/02/fe02b4bd-c705-4fd9-a604-62d6f937e5ff","https://assets.vipa.nexbetter.com/pictures/3/af/11/af11d161-cd3d-42e7-89ef-1209713c6a8a","no_data","2026-09-11T04:17:52.00Z","2026-09-11T04:19:54.00Z","0","0"
"16848","The Hidden World of Baby Factories","https://vipa.me/th/watch/the-hidden-world-of-baby-factories","https://assets.vipa.nexbetter.com/pictures/3/0d/9b/0d9bafa0-4207-4613-a9c5-a8275f426316","movie","The Hidden World of Baby Factories","Documentary","Investigative|Social/Political|Cultural","no_data","2025","THA","5","2","2","no_data","true","https://assets.vipa.nexbetter.com/pictures/3/0d/9b/0d9bafa0-4207-4613-a9c5-a8275f426316","https://assets.vipa.nexbetter.com/pictures/3/0d/9b/0d9bafa0-4207-4613-a9c5-a8275f426316","https://assets.vipa.nexbetter.com/pictures/3/8c/65/8c65168e-2a39-4132-8a81-a1e275efba58","no_data","2026-09-11T03:58:43.00Z","2026-09-11T04:21:07.00Z","0","0"
"16847","โอคาวังโก อัศจรรย์แหล่งน้ำเพื่อชีวิต","https://vipa.me/th/watch/okavango-aflood-of-life","https://assets.vipa.nexbetter.com/pictures/3/c9/eb/c9ebe3c8-50e3-46b2-8fce-8a5c1ac0b38f","movie","โอคาวังโก อัศจรรย์แหล่งน้ำเพื่อชีวิต","Documentary","Nature/Environmental|Cultural","no_data","2021","THA","2","4","3","soundtrack","true","https://assets.vipa.nexbetter.com/pictures/3/c9/eb/c9ebe3c8-50e3-46b2-8fce-8a5c1ac0b38f","https://assets.vipa.nexbetter.com/pictures/3/c9/eb/c9ebe3c8-50e3-46b2-8fce-8a5c1ac0b38f","https://assets.vipa.nexbetter.com/pictures/3/57/db/57db46be-e31d-484c-a315-9ded0bf04152","no_data","2026-09-10T04:54:04.00Z","2026-09-10T04:57:30.00Z","0","0"
"16846","สานสัมพันธ์ต่างโลก","https://vipa.me/th/watch/alien-contact","https://assets.vipa.nexbetter.com/pictures/3/c3/13/c313bbfd-aae6-45c0-baca-34e556368b88","movie","สานสัมพันธ์ต่างโลก","Documentary","Nature/Environmental|Cultural","no_data","2023","THA","2","5","4","soundtrack","true","https://assets.vipa.nexbetter.com/pictures/3/c3/13/c313bbfd-aae6-45c0-baca-34e556368b88","https://assets.vipa.nexbetter.com/pictures/3/c3/13/c313bbfd-aae6-45c0-baca-34e556368b88","https://assets.vipa.nexbetter.com/pictures/3/7f/73/7f739348-176a-4edd-90a8-bcd914c50779","no_data","2026-09-10T04:01:48.00Z","2026-09-10T04:43:42.00Z","0","0"
"16840","หนูน้อยผมร่วง","https://vipa.me/th/watch/baldilocks","https://assets.vipa.nexbetter.com/pictures/3/ba/64/ba644bc0-cf2d-491d-8b68-a06cb5be0227","movie","หนูน้อยผมร่วง","Documentary","Biographical|Social/Political|Cultural","no_data","2023","THA","5","5","5","soundtrack","true","https://assets.vipa.nexbetter.com/pictures/3/ba/64/ba644bc0-cf2d-491d-8b68-a06cb5be0227","https://assets.vipa.nexbetter.com/pictures/3/ba/64/ba644bc0-cf2d-491d-8b68-a06cb5be0227","https://assets.vipa.nexbetter.com/pictures/3/35/84/3584d5e7-2e1c-4aac-9906-ab5fbe3cbde1","no_data","2026-09-07T07:50:46.00Z","2026-09-07T07:53:19.00Z","0","0"
